,VID,Type,Number,Republicans,Democrats,Others
23225,6768,Not Voting,10,1,9,0
23226,6769,Yea,46,15,31,0
23227,6769,Nay,45,26,17,2
23228,6769,Not Voting,9,1,8,0
23229,6770,Yea,75,27,47,1
23230,6770,Nay,15,13,1,1
23231,6770,Not Voting,10,2,8,0
23232,6771,Yea,59,21,38,0
23233,6771,Nay,35,21,12,2
23234,6771,Not Voting,6,0,6,0
23235,6772,Yea,37,31,4,2
23236,6772,Nay,59,11,48,0
23237,6772,Not Voting,4,0,4,0
23238,6773,Yea,40,29,9,2
23239,6773,Nay,56,13,43,0
23240,6773,Not Voting,4,0,4,0
23241,6774,Yea,41,29,10,2
23242,6774,Nay,53,11,42,0
23243,6774,Not Voting,6,2,4,0
23244,6775,Yea,69,21,47,1
23245,6775,Nay,22,17,4,1
23246,6775,Not Voting,9,4,5,0
23247,6776,Yea,90,38,50,2
23248,6776,Not Voting,10,4,6,0
23249,6777,Yea,62,23,39,0
23250,6777,Nay,33,18,13,2
23251,6777,Not Voting,5,1,4,0
23252,6778,Yea,60,20,40,0
23253,6778,Nay,36,21,13,2
23254,6778,Not Voting,4,1,3,0
23255,6779,Yea,60,18,41,1
23256,6779,Nay,33,21,11,1
23257,6779,Not Voting,7,3,4,0
23258,6780,Yea,38,11,27,0
23259,6780,Nay,53,28,23,2
23260,6780,Not Voting,9,3,6,0
23261,6781,Yea,89,38,49,2
23262,6781,Nay,2,1,1,0
23263,6781,Not Voting,9,3,6,0
23264,6782,Yea,56,18,38,0
23265,6782,Nay,29,16,11,2
23266,6782,Not Voting,15,8,7,0
23267,6783,Yea,63,17,46,0
23268,6783,Nay,22,20,1,1
23269,6783,Not Voting,15,5,9,1
23270,6784,Yea,46,19,27,0
23271,6784,Nay,25,15,8,2
23272,6784,Not Voting,29,8,21,0
23273,6785,Yea,19,14,4,1
23274,6785,Nay,67,24,42,1
23275,6785,Not Voting,14,4,10,0
23276,6786,Yea,85,38,45,2
23277,6786,Not Voting,15,4,11,0
23278,6787,Yea,62,30,31,1
23279,6787,Nay,25,9,15,1
23280,6787,Not Voting,13,3,10,0
23281,6788,Yea,55,27,27,1
23282,6788,Nay,31,13,17,1
23283,6788,Not Voting,14,2,12,0
23284,6789,Yea,75,38,35,2
23285,6789,Nay,10,0,10,0
23286,6789,Present,1,1,0,0
23287,6789,Not Voting,14,3,11,0
23288,6790,Yea,63,25,38,0
23289,6790,Nay,26,14,10,2
23290,6790,Not Voting,11,3,8,0
23291,6791,Yea,91,39,50,2
23292,6791,Not Voting,9,3,6,0
23293,6792,Yea,54,18,36,0
23294,6792,Nay,37,21,14,2
23295,6792,Not Voting,9,3,6,0
23296,6793,Yea,23,5,18,0
23297,6793,Nay,68,33,33,2
23298,6793,Not Voting,9,4,5,0
23299,6794,Yea,77,30,46,1
23300,6794,Nay,13,8,4,1
23301,6794,Not Voting,10,4,6,0
23302,6795,Yea,30,27,2,1
23303,6795,Nay,60,10,49,1
23304,6795,Not Voting,10,5,5,0
23305,6796,Yea,85,32,51,2
23306,6796,Nay,3,3,0,0
23307,6796,Not Voting,12,7,5,0
23308,6797,Yea,47,27,18,2
23309,6797,Nay,44,10,34,0
23310,6797,Not Voting,9,5,4,0
23311,6798,Yea,45,6,39,0
23312,6798,Nay,43,29,12,2
23313,6798,Not Voting,12,7,5,0
23314,6799,Yea,47,6,41,0
23315,6799,Nay,41,29,10,2
23316,6799,Not Voting,12,7,5,0
23317,6800,Yea,11,9,1,1
23318,6800,Nay,77,25,51,1
23319,6800,Not Voting,12,8,4,0
23320,6801,Yea,87,33,52,2
23321,6801,Nay,2,2,0,0
23322,6801,Not Voting,11,7,4,0
23323,6802,Yea,83,31,50,2
23324,6802,Nay,1,0,1,0
23325,6802,Not Voting,16,11,5,0
23326,6803,Yea,67,27,38,2
23327,6803,Nay,10,0,10,0
23328,6803,Not Voting,23,15,8,0
23329,6804,Yea,62,20,41,1
23330,6804,Nay,12,6,6,0
23331,6804,Not Voting,26,16,9,1
23332,6805,Yea,49,17,32,0
23333,6805,Nay,25,9,15,1
23334,6805,Not Voting,26,16,9,1
23335,6806,Yea,62,24,37,1
23336,6806,Nay,12,2,10,0
23337,6806,Not Voting,26,16,9,1
23338,6807,Yea,61,19,41,1
23339,6807,Nay,14,7,7,0
23340,6807,Not Voting,25,16,8,1
23341,6808,Yea,66,21,44,1
23342,6808,Nay,9,6,3,0
23343,6808,Not Voting,25,15,9,1
23344,6809,Yea,45,12,33,0
23345,6809,Nay,16,8,7,1
23346,6809,Not Voting,39,22,16,1
23347,6810,Yea,66,21,44,1
23348,6810,Not Voting,34,21,12,1
23349,6811,Yea,31,4,27,0
23350,6811,Nay,31,15,15,1
23351,6811,Not Voting,38,23,14,1
23352,6812,Yea,39,9,30,0
23353,6812,Nay,23,10,12,1
23354,6812,Not Voting,38,23,14,1
23355,6813,Yea,38,10,28,0
23356,6813,Nay,23,9,13,1
23357,6813,Not Voting,39,23,15,1
23358,6814,Yea,3,2,1,0
23359,6814,Nay,57,17,39,1
23360,6814,Not Voting,40,23,16,1
23361,6815,Yea,52,14,37,1
23362,6815,Nay,8,5,3,0
23363,6815,Not Voting,40,23,16,1
23364,6816,Yea,53,8,44,1
23365,6816,Nay,22,21,0,1
23366,6816,Present,1,1,0,0
23367,6816,Not Voting,24,12,12,0
23368,6817,Yea,82,32,48,2
23369,6817,Not Voting,19,10,9,0
23370,6818,Yea,9,5,2,2
23371,6818,Nay,71,26,45,0
23372,6818,Not Voting,21,11,10,0
23373,6819,Yea,31,8,23,0
23374,6819,Nay,51,25,24,2
23375,6819,Not Voting,19,9,10,0
23376,6820,Yea,9,3,5,1
23377,6820,Nay,75,32,42,1
23378,6820,Not Voting,17,7,10,0
23379,6821,Yea,21,13,6,2
23380,6821,Nay,63,22,41,0
23381,6821,Not Voting,17,7,10,0
23382,6822,Yea,78,31,46,1
23383,6822,Nay,6,4,1,1
23384,6822,Not Voting,17,7,10,0
23385,6823,Yea,50,28,20,2
23386,6823,Nay,38,9,29,0
23387,6823,Not Voting,13,5,8,0
23388,6824,Yea,35,24,10,1
23389,6824,Nay,45,12,32,1
23390,6824,Not Voting,21,6,15,0
23391,6825,Yea,53,17,36,0
23392,6825,Nay,27,19,6,2
23393,6825,Not Voting,21,6,15,0
23394,6826,Yea,47,15,32,0
23395,6826,Nay,32,20,10,2
23396,6826,Not Voting,22,7,15,0
23397,6827,Yea,48,28,18,2
23398,6827,Nay,27,5,22,0
23399,6827,Not Voting,26,9,17,0
23400,6828,Yea,57,32,24,1
23401,6828,Nay,37,7,30,0
23402,6828,Not Voting,7,3,3,1
23403,6829,Yea,38,21,16,1
23404,6829,Nay,59,20,39,0
23405,6829,Not Voting,4,1,2,1
23406,6830,Yea,68,24,44,0
23407,6830,Nay,29,17,11,1
23408,6830,Not Voting,4,1,2,1
23409,6831,Yea,37,27,9,1
23410,6831,Nay,56,13,43,0
23411,6831,Not Voting,8,2,5,1
23412,6832,Yea,30,18,10,2
23413,6832,Nay,58,19,39,0
23414,6832,Not Voting,13,5,8,0
23415,6833,Yea,29,22,5,2
23416,6833,Nay,59,15,44,0
23417,6833,Not Voting,13,5,8,0
23418,6834,Yea,28,21,6,1
23419,6834,Nay,64,16,47,1
23420,6834,Not Voting,9,5,4,0
23421,6835,Yea,40,20,18,2
23422,6835,Nay,51,17,34,0
23423,6835,Not Voting,10,5,5,0
23424,6836,Yea,47,24,21,2
23425,6836,Nay,44,13,31,0
23426,6836,Not Voting,10,5,5,0
23427,6837,Yea,24,15,7,2
23428,6837,Nay,67,22,45,0
23429,6837,Not Voting,10,5,5,0
23430,6838,Yea,28,15,11,2
23431,6838,Nay,63,22,41,0
23432,6838,Not Voting,10,5,5,0
23433,6839,Yea,38,19,17,2
23434,6839,Nay,52,18,34,0
23435,6839,Not Voting,11,5,6,0
23436,6840,Yea,24,14,8,2
23437,6840,Nay,63,21,42,0
23438,6840,Not Voting,14,7,7,0
23439,6841,Yea,27,16,9,2
23440,6841,Nay,59,19,40,0
23441,6841,Not Voting,15,7,8,0
23442,6842,Yea,65,21,44,0
23443,6842,Nay,22,14,7,1
23444,6842,Not Voting,14,7,6,1
23445,6843,Yea,68,23,45,0
23446,6843,Nay,18,12,5,1
23447,6843,Not Voting,15,7,7,1
23448,6844,Yea,55,18,37,0
23449,6844,Nay,36,21,13,2
23450,6844,Not Voting,10,3,7,0
23451,6845,Yea,55,18,37,0
23452,6845,Nay,38,22,14,2
23453,6845,Not Voting,8,2,6,0
23454,6846,Yea,37,29,7,1
23455,6846,Nay,62,11,50,1
23456,6846,Not Voting,2,2,0,0
23457,6847,Yea,37,27,9,1
23458,6847,Nay,62,13,48,1
23459,6847,Not Voting,2,2,0,0
23460,6848,Yea,38,27,9,2
23461,6848,Nay,60,13,47,0
23462,6848,Not Voting,3,2,1,0
23463,6849,Yea,67,16,50,1
23464,6849,Nay,32,24,7,1
23465,6849,Not Voting,2,2,0,0
23466,6850,Yea,78,32,45,1
23467,6850,Nay,7,4,2,1
23468,6850,Not Voting,16,6,10,0
23469,6851,Yea,54,31,23,0
23470,6851,Nay,37,8,28,1
23471,6851,Not Voting,10,3,6,1
23472,6852,Yea,48,33,15,0
23473,6852,Nay,46,7,38,1
23474,6852,Not Voting,7,2,4,1
23475,6853,Yea,45,30,15,0
23476,6853,Nay,47,9,37,1
23477,6853,Not Voting,9,3,5,1
23478,6854,Yea,53,10,42,1
23479,6854,Nay,37,28,9,0
23480,6854,Not Voting,11,4,6,1
